0.10,1.00,500.69
0.20,2.08,576.75
0.30,3.24,658.20
0.40,4.47,745.01
0.50,5.79,837.21
0.60,7.19,934.78
0.70,8.66,1037.73
0.80,10.21,1146.06
0.90,11.85,1259.76
1.00,13.56,1378.84
1.10,15.35,1503.29
1.20,17.22,1633.13
1.30,19.17,1768.33
1.40,21.20,1908.92
1.50,23.30,2054.88
1.60,25.49,2206.22
1.70,27.75,2362.94
1.80,30.10,2525.03
1.90,32.52,2692.50
2.00,35.02,2865.35
2.10,37.60,3043.57
2.20,40.27,3227.17
2.30,43.00,3416.15
2.40,45.82,3610.50
2.50,48.72,3810.23
2.60,51.70,4015.34
2.70,54.75,4225.82
2.80,57.89,4441.68
2.90,61.10,4662.92
3.00,64.40,4889.53
3.10,67.77,5121.52
3.20,71.22,5358.89
3.30,74.75,5601.64
3.40,78.36,5849.76
3.50,82.05,6103.26
3.60,85.81,6362.13
3.70,89.66,6626.38
3.80,93.59,6896.01
3.90,97.59,7171.02
4.00,101.67,7451.40
4.10,105.84,7737.16
4.20,110.08,8028.29
4.30,114.40,8324.80
4.40,118.80,8626.69
4.50,123.28,8933.96
4.60,127.84,9246.60
4.70,132.47,9564.62
4.80,137.19,9888.02
4.90,141.99,10216.79
5.00,146.86,10550.94
5.10,151.81,10890.47
5.20,156.85,11235.37
5.30,161.96,11585.65
5.40,167.15,11941.31
5.50,172.42,12302.34
5.60,177.77,12668.75
5.70,183.20,13040.54
5.80,188.70,13417.70
5.90,194.29,13800.24
6.00,199.95,14188.16
6.10,205.70,14581.45
6.20,211.52,14980.12
6.30,217.42,15384.17
6.40,223.40,15793.59
6.50,229.47,16208.39
6.60,235.60,16628.57
6.70,241.82,17054.13
6.80,248.12,17485.06
6.90,254.50,17921.36
7.00,260.95,18363.05
7.10,267.49,18810.11
7.20,274.10,19262.54
7.30,280.80,19720.36
7.40,287.57,20183.54
7.50,294.42,20652.11
7.60,301.35,21126.05
7.70,308.36,21605.37
7.80,315.45,22090.07
7.90,322.61,22580.14
8.00,329.86,23075.59
8.10,337.19,23576.42
8.20,344.59,24082.62
8.30,352.07,24594.20
8.40,359.64,25111.16
8.50,367.28,25633.49
8.60,375.00,26161.20
8.70,382.80,26694.29
8.80,390.68,27232.75
8.90,398.64,27776.59
9.00,406.67,28325.81
9.10,414.79,28880.40
9.20,422.99,29440.37
9.30,431.26,30005.72
9.40,439.61,30576.44
9.50,448.05,31152.54
9.60,456.56,31734.02
9.70,465.15,32320.87
9.80,473.82,32913.11
9.90,482.57,33510.71
10.00,491.40,34113.70
